game_id,platform_id
476,15
476,20
476,28
477,8
477,15
477,32
478,14
478,15
478,20
478,21
478,28
478,29
479,12
479,15
479,17
479,19
479,20
479,25
479,28
479,29
479,32
480,1
480,10
480,12
480,15
480,16
480,20
480,25
480,26
480,28
480,29
480,31
480,32
481,1
481,10
481,15
481,16
481,20
481,21
481,26
481,29
481,31
481,32
482,1
482,12
482,15
482,16
482,17
482,20
482,25
482,28
482,32
483,1
483,10
483,12
483,15
483,16
483,20
483,21
483,26
483,28
483,29
483,31
483,32
484,1
484,12
484,15
484,20
484,25
484,28
484,29
484,31
484,32
485,10
485,15
485,16
485,20
485,21
485,26
485,28
485,29
485,32
486,1
486,10
486,12
486,15
486,16
486,20
486,25
486,28
486,31
487,1
487,15
487,20
487,28
487,31
488,15
488,21
488,29
489,8
489,15
489,21
489,29
489,31
489,32
490,15
490,28
490,32
491,8
491,15
491,28
491,32
492,8
492,15
492,31
492,32
493,1
493,8
493,15
493,20
493,21
493,28
493,29
493,31
493,32
494,8
494,14
494,15
494,21
494,29
494,32
495,1
495,8
495,15
495,21
495,29
495,31
495,32
496,1
496,8
496,14
496,15
496,16
496,20
496,21
496,28
496,29
496,31
496,32
497,1
497,8
497,14
497,15
497,26
497,31
497,32
498,14
498,15
498,21
498,29
498,31
499,14
499,15
499,21
499,22
499,29
499,30
500,15
500,21
501,1
501,8
501,14
501,15
501,30
501,31
501,32
502,15
502,20
502,28
503,1
503,15
503,21
503,29
503,31
504,15
505,8
505,14
505,15
505,21
505,29
505,32
506,15
507,1
507,9
507,15
507,20
507,21
507,25
507,28
507,29
507,31
508,1
508,8
508,14
508,15
508,16
508,20
508,21
508,29
508,31
508,32
509,8
509,15
509,21
509,28
509,29
509,32
510,15
510,20
510,28
510,29
511,15
511,21
511,29
512,15
512,21
512,29
512,32
513,15
513,21
513,29
514,15
514,21
514,29
514,30
515,15
515,19
515,27
516,1
516,15
517,8
517,15
517,21
517,32
518,14
518,15
518,21
518,22
518,29
518,30
519,8
519,14
519,15
519,21
519,29
519,32
520,8
520,14
520,15
520,28
520,32
521,15
521,21
521,29
521,32
522,14
522,15
522,21
522,22
522,29
522,30
523,15
523,21
523,22
524,15
524,21
524,22
525,15
525,21
525,22
525,29
525,30
526,15
526,20
526,28
526,29
527,15
527,20
527,28
527,29
528,15
528,20
528,26
528,28
528,29
529,15
529,21
529,29
530,15
530,21
530,22
530,29
530,30
531,2
531,15
531,19
531,20
531,21
531,27
531,28
532,15
532,19
532,27
533,15
533,20
533,28
533,32
534,15
534,20
534,28
535,8
535,15
535,32
536,1
536,15
536,20
536,28
536,29
537,15
537,20
537,21
537,28
537,29
538,15
538,20
538,21
538,28
538,29
539,15
539,28
540,8
540,14
540,15
540,21
540,29
540,32
541,15
541,21
541,22
541,29
542,15
542,20
542,28
543,8
543,14
543,15
543,21
543,29
543,32
544,8
544,15
544,20
544,21
544,28
544,29
544,32
545,1
545,15
545,21
545,29
546,1
546,8
546,10
546,14
546,15
546,16
546,20
546,21
546,26
546,28
546,29
546,31
546,32
547,1
547,8
547,14
547,15
547,21
547,31
547,32
548,12
548,15
548,20
548,25
548,28
548,32
549,15
549,29
550,15
551,15
551,20
551,28
552,15
552,21
552,29
553,8
553,15
553,28
553,32
554,15
554,21
554,29
555,1
555,8
555,14
555,15
555,21
555,29
555,31
555,32
556,14
556,15
556,21
556,22
556,29
556,30
557,15
557,20
557,28
558,15
558,21
558,29
559,15
560,1
560,8
560,15
560,21
560,29
560,32
561,15
561,21
561,22
561,29
561,30
562,15
562,20
562,21
562,28
562,29
563,14
563,15
563,21
563,29
564,14
564,15
564,21
564,29
564,31
565,14
565,15
565,21
565,29
565,31
566,15
566,21
566,29
567,8
567,15
568,1
568,14
568,15
568,20
568,25
568,28
568,31
569,7
569,15
569,17
569,19
569,20
569,27
569,28
570,15
570,21
570,29
571,15
571,21
571,29
572,15
572,21
572,29
573,15
573,20
573,21
573,28
573,29
574,1
574,15
574,16
574,20
574,26
574,28
574,31
575,8
575,14
575,15
575,20
575,21
575,26
575,29
575,32
576,15
576,21
576,29
577,14
577,15
577,21
577,29
577,30
578,15
578,20
578,23
578,28
579,14
579,15
579,21
579,29
580,8
580,14
580,15
580,21
580,29
580,31
580,32
581,15
581,21
582,14
582,15
582,21
582,22
582,29
583,8
583,15
583,32
584,8
584,15
584,32
585,8
585,14
585,15
585,21
585,29
585,31
585,32
586,14
586,15
586,20
586,21
586,29
587,15
588,8
588,14
588,15
588,21
588,29
588,32
589,1
589,8
589,14
589,15
589,16
589,21
589,26
589,29
589,31
589,32
590,15
590,18
590,21
590,22
591,1
591,8
591,14
591,15
591,16
591,20
591,21
591,26
591,29
591,31
591,32
592,15
592,20
592,28
592,29
593,15
593,28
594,15
595,15
595,28
595,29
596,14
596,15
596,28
596,29
597,14
597,15
597,29
597,30
598,1
598,8
598,15
598,31
598,32
599,14
599,15
599,21
599,29
600,8
600,15
600,20
600,28
600,32
601,8
601,14
601,15
601,21
601,29
601,32
602,14
602,15
602,21
602,29
603,14
603,15
603,21
603,29
604,8
604,14
604,15
604,21
604,29
604,32
605,8
605,15
605,28
605,32
606,8
606,15
606,20
606,28
